"Track";"Album Name";"Artist";"Release Date";"ISRC";"All Time Rank";"Track Score";"Spotify Streams";"Spotify Playlist Count";"Spotify Playlist Reach";"Spotify Popularity";"YouTube Views";"YouTube Likes";"TikTok Posts";"TikTok Likes";"TikTok Views";"YouTube Playlist Reach";"Apple Music Playlist Count";"AirPlay Spins";"SiriusXM Spins";"Deezer Playlist Count";"Deezer Playlist Reach";"Amazon Playlist Count";"Pandora Streams";"Pandora Track Stations";"Soundcloud Streams";"Shazam Counts";"Explicit Track"
"Prada";"Prada";"cassï¿";"2023-08-11";"GBCEN2300147";100;152.5;609699748;128498;160755092;83;47611547;418343;283600;283600;1090501901;113545664;129;123242;1570;167;15480679;100;1210830;1073;25956265;0;1
"Lil Boo Thang";"Lil Boo Thang";"Paul Russell";"2023-08-18";"USAR12300323";102;152.1;242070373;37170;74130983;76;22907992;261664;2553106;2553106;3832221658;15593731;106;370635;5999;69;1792014;79;84425715;30713;670026;2219984;0
"MONACO";"nadie sabe lo que va a pasar maï¿½ï¿";"Bad Bunny";"2023-10-13";"QMFME2364182";103;150.7;478150858;73306;51842133;78;113379734;1312763;1700998;1700998;2111289492;90954700;78;35330;39;56;15784760;53;17823388;12664;4374049;2255465;1
"Laxed (Siren Beat)";"Laxed (Siren Beat)";"Jawsh 685";"2020-04-24";"USSM12002399";104;150.5;61382407;7240;1708319;43;9977490;201210;37726462;37726462;147837262;0;15;10152;0;5;59317;1;0;0;0;3819161;0
"Training Season";"Training Season";"Dua Lipa";"2024-02-15";"GBAHT2301078";106;148.9;251153869;16811;92985554;76;66691067;961957;102884;102884;431390500;2120552147;162;180711;57;127;33540073;116;10305245;3796;776717;2047771;0
"Type Shit";"WE DON'T TRUST YOU";"Future";"2024-03-22";"USSM12402033";107;148.1;205206688;28064;84737651;84;39453253;672789;0;0;0;232440923;99;3432;45;41;2943724;47;5897303;4527;7571301;900933;1
"Armageddon";"Armageddon - The 1st Album";"aespa";"2024-05-27";"KRA302400093";108;147.4;32942304;1262;26204483;74;57861795;1257935;0;0;0;29510774;37;290;6;5;530831;33;21869;48;139164;29736;0
"The Box";"Please Excuse Me For Being Antisocial";"Roddy Ricch";"2019-12-06";"USAT21906978";109;146.6;1911559785;317345;87765033;78;441257231;4829633;4930490;4930490;4574447121;2077511;255;296948;181;138;555650;28;295741432;633414;168458097;11988760;1
"INDUSTRY BABY (feat. Jack Harlow)";"INDUSTRY BABY (feat. Jack Harlow)";"Lil Nas X";"2021-07-23";"USSM12104539";110;145.3;2014959725;354831;87942438;70;1003346208;16856186;1750366;1750366;9558947943;3191316960;360;245228;925;109;3242122;74;75167268;96430;0;12693846;1
"Pedro";"Pedro - Single";"Jaxomy";"2024-03-29";"DEE862400427";111;144.6;168145583;27654;159737263;85;35008949;717214;0;0;0;39149568;107;4448;0;158;16345999;54;39577;482;3634381;2408838;0
"Fast Car";"Gettin' Old";"Luke Combs";"2023-03-24";"US6XF2200436";112;144.5;518988585;73116;58391498;80;107703759;768813;354036;354036;924204888;103658014;117;673629;59;67;8306302;104;184924061;88890;728039;3108167;0
"Bling-Bang-Bang-Born";"Bling-Bang-Bang-Born";"Creepy Nuts";"2024-01-07";"JPU902305042";113;144.0;247399972;22222;13870528;80;389540239;4392933;0;0;296522040;1041035733;53;807;0;18;357941;17;537267;1928;0;1069500;0
"Aesthetic";"Aesthetic";"Tollan Kim";"2022-03-04";"SGB502208576";114;144.0;5712985;2311;535908;44;3120073;56276;20114495;20114495;33870791454;0;4;22;0;4;1397;1;21564;81;0;249823;0
"Sunflower - Spider-Man: Into the Spider-Verse";"Sunflower (Spider-Man: Into the Spider-Verse)";"Post Malone";"2018-10-18";"USUM71814888";116;143.9;3358704125;392082;123917182;79;2147483647;19410390;2714134;2714134;1597453878;484189798;351;273683;0;86;809352;99;546367356;906813;0;1569935;0
"Saturn";"Saturn - Single";"SZA";"2024-02-24";"USRC12400216";117;142.8;343090427;21104;154253718;87;38173339;349660;0;0;0;196380893;120;158378;360;103;10995523;87;11441987;7496;166254;745798;0
"Believer";"Believer";"Imagine Dragons";"2017-01-31";"USUM71700626";119;142.2;3006226762;335880;89243475;81;2147483647;42240881;5745117;5745117;5876458723;276194776;226;253782;388;118;1138425;71;614578695;844301;2943611;21306706;0
"WAIT FOR U (feat. Drake & Tems)";"WAIT FOR U (feat. Drake & Tems)";"Future";"2022-04-27";"USSM12203789";120;141.0;787155930;183850;58397185;77;357772653;2590835;931660;931660;836550889;3934416606;150;463665;1308;32;399388;69;182315884;53326;48937045;3534164;1
